Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
,,,,,,
"C1, ",1,100uf,C_Polarized,lc_lib:CASE-B_3528,Polarized capacitor,
,,,,,,
"C2, ",1,1uf,C,Capacitor_SMD:C_0402_1005Metric,Unpolarized capacitor,
,,,,,,
"C3, C5, ",2,470pf,C,Capacitor_SMD:C_0402_1005Metric,Unpolarized capacitor,
,,,,,,
"C4, C6, C7, ",3,10uf,C,Capacitor_SMD:C_0402_1005Metric,Unpolarized capacitor,
,,,,,,
"D1, ",1,led-white,LED,LED_SMD:LED_0402_1005Metric,Light emitting diode,
,,,,,,
"D2, ",1,led-red,D,LED_SMD:LED_0402_1005Metric,Diode,
,,,,,,
"D3, ",1,led-green,D,LED_SMD:LED_0402_1005Metric,Diode,
,,,,,,
"J1, ",1,Conn_01x12_Female,Conn_01x12_Female,My-lib:TFT_1.4_12_front,"Generic connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)",
,,,,,,
"J2, ",1,Conn_01x06_Female,Conn_01x06_Female,Connector_PinHeader_1.27mm:PinHeader_1x06_P1.27mm_Vertical,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",
,,,,,,
"J3, ",1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_USB2.0,digikey-footprints:USB-C_Female_Vert_DX07S024WJ3R400,USB 2.0-only Type-C Receptacle connector,
,,,,,,
"J4, ",1,Conn_01x02_Female,Conn_01x02_Female,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
,,,,,,
"R1, R3, R8, R9, ",4,12K,R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"R2, R6, R7, ",3,470,R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"R4, ",1,12k,R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"R5, ",1,0,R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"R10, R12, ",2,1k,R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"R11, ",1,1.2K,R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"R13, R14, ",2,10k,R,Resistor_SMD:R_0402_1005Metric,Resistor,
,,,,,,
"SW1, ",1,SW_DPDT_x2,SW_DPDT_x2,Button_Switch_SMD:SW_SPDT_PCM12,"Switch, dual pole double throw, separate symbols",
,,,,,,
"SW2, SW3, ",2,SW_Push,SW_Push,"My-lib:Button_SMD,3x4x2mm","Push button switch, generic, two pins",
,,,,,,
"U1, ",1,SPX3819M5-L-3-3,SPX3819M5-L-3-3,Package_TO_SOT_SMD:SOT-23-5,"500mA Low drop-out regulator, Fixed Output 3.3V, SOT-23-5",
,,,,,,
"U2, ",1,ESP-12E,ESP-12E,RF_Module:ESP-12E,802.11 b/g/n Wi-Fi Module,
,,,,,,
"U3, ",1,TP4056_[C16581],TP4056_[C16581],lc_lib:SOP-8_EP_150MIL,,
